count word
2 aah
4 aardvark
3 aback
1 abacus
42 abandon
55 abandoned
8 abandoning
3 abandonment
4 abandons
15 abate
2 abatement
1 abates
3 abba
5 abbey
6 abbot
1 abbreviated
15 abbreviation
11 abbreviations
1 abdicate
3 abdicated
1 abdication
14 abdomen
1 abdomens
14 abdominal
5 abduct
6 abducted
4 abduction
9 abed
3 aberrance
6 aberrances
11 aberrant
9 aberration
1 aberrations
1 abetted
2 abetter
3 abetting
7 abhor
5 abhorred
1 abhorrence
5 abhorrent
5 abhors
18 abide
3 abides
110 abiding
2 abigail
48 abilities
470 ability
43 abiogenesis
7 abject
1 abjuring
5 ablaze
1794 able
2 ablutions
4 ably
11 abnormal
8 abnormalities
2 abnormally
23 aboard
12 abode
1 abodes
37 abolish
23 abolished
15 abolishing
2 abolishment
13 abolition
2 abolitionist
3 abolitionists
9 abominable
1 abominate
39 abomination
15 abominations
2 aboriginal
42 abort
15 aborted
1 aborting
469 abortion
4 abortionist
5 abortionists
118 abortions
4 aborts
21 abound
1 abounded
2 abounds
14557 about
1890 above
2 abrasions
3 abrasive
1 abrasives
4 abreast
2 abridge
8 abridged
3 abridgement
1 abridgements
7 abridging
2 abridgment
55 abroad
4 abrogate
4 abrogated
1 abrogating
2 abrogation
1 abrogator
4 abrupt
19 abruptly
67 abs
2 abscess
1 absconding
96 absence
1 absences
33 absent
6 absentee
401 absolute
432 absolutely
1 absoluteness
82 absolutes
7 absolutism
12 absolutist
2 absolutists
6 absolve
4 absolved
4 absolving
22 absorb
16 absorbed
4 absorber
1 absorbers
8 absorbing
3 absorbs
26 absorption
8 abstain
1 abstained
3 abstaining
1 abstention
27 abstinence
94 abstract
1 abstracted
18 abstraction
5 abstractions
37 abstracts
2 abstruse
140 absurd
27 absurdities
30 absurdity
1 absurdly
28 abundance
2 abundances
17 abundant
7 abundantly
275 abuse
1 abuse's
56 abused
12 abuser
14 abusers
67 abuses
22 abusing
35 abusive
1 abutment
3 abutting
1 aby
3 abysmal
17 abyss
1 academe
35 academia
153 academic
6 academically
1 academician
1 academicians
19 academics
1 academies
47 academy
4 accede
1 acceding
2 accelerant
35 accelerate
86 accelerated
7 accelerates
17 accelerating
84 acceleration
19 accelerations
123 accelerator
49 accelerators
3 accelerometer
2 accelerometers
6 accent
4 accented
2 accents
1 accentuate
1 accentuates
841 accept
3 acceptability
250 acceptable
4 acceptably
96 acceptance
2 acceptances
373 accepted
90 accepting
64 accepts
1097 access
2 access's
1 accessaries
38 accessed
11 accesses
3 accessibility
55 accessible
30 accessing
2 accession
43 accessories
24 accessory
228 accident
83 accidental
56 accidentally
26 accidently
109 accidents
1 acclaimed
1 acclaims
2 acclimate
5 acclimated
2 acclimatization
4 acclimatize
6 accolade
1 accolades
26 accommodate
2 accommodated
6 accommodates
12 accommodation
11 accommodations
33 accompanied
1 accompanies
13 accompany
33 accompanying
4 accomplice
1 accomplices
75 accomplish
79 accomplished
2 accomplishes
11 accomplishing
5 accomplishment
14 accomplishments
74 accord
45 accordance
9 accorded
888 according
37 accordingly
3 accordion
7 accords
2 accosted
1 accosts
481 account
1 account's
19 accountability
42 accountable
1 accountant
2 accountants
19 accounted
34 accounting
186 accounts
1 accoutered
2 accredit
3 accreditation
8 accredited
6 accreted
1 accretes
3 accretion
1 accrue
2 accrued
1 accruing
18 accumulate
14 accumulated
3 accumulates
4 accumulating
11 accumulation
1 accumulators
6 accuracies
205 accuracy
334 accurate
66 accurately
1 accursed
39 accusation
46 accusations
2 accusative
1 accusatory
53 accuse
102 accused
1 accuser
2 accusers
9 accuses
43 accusing
14 accustomed
57 ace
1 aces
13 acetaminophen
3 acetate
2 acetic
12 acetone
3 acetyl
2 acetylcholine
5 acetylene
7 ache
1 ached
6 aches
6 achievable
129 achieve
99 achieved
21 achievement
14 achievements
6 achieves
15 achieving
2 aching
1 achy
167 acid
7 acidic
1 acidifying
1 acidity
30 acids
78 acknowledge
49 acknowledged
28 acknowledgement
6 acknowledgements
14 acknowledges
13 acknowledging
15 acknowledgment
2 acknowledgments
3 acme
2 acme's
14 acne
11 acorn
12 acoustic
1 acoustical
1 acoustics
2 acquaint
20 acquaintance
1 acquaintance's
11 acquaintances
5 acquainted
3 acquiesce
1 acquiescence
1 acquiescent
2 acquiescing
68 acquire
96 acquired
2 acquires
24 acquiring
40 acquisition
3 acquisitions
1 acquisitive
2 acquittal
2 acquittals
10 acquitted
10 acre
1 acreage
4 acres
4 acrid
2 acrimonious
1 acrobatics
21 acronym
14 acronyms
500 across
1 acrylonitrile
727 act
2 act's
62 acted
122 acting
2 actinide
4 actinides
767 action
574 actions
12 activate
29 activated
5 activating
7 activation
1 activators
301 active
77 actively
3 activism
14 activist
2 activist's
58 activists
406 activities
341 activity
34 actor
5 actors
2 actress
426 acts
406 actual
18 actuality
3 actualization
2309 actually
7 actuarial
2 actuaries
1 actuary
1 actuate
1 actuated
1 actuation
2 actuator
1 actuators
4 acuity
15 acupuncture
6 acupuncturist
2 acupuncturists
30 acute
2 acutely
4 acyclovir
343 ad
3 adage
7 adamant
2 adamantly
21 adapt
3 adaptability
3 adaptable
15 adaptation
1 adaptations
39 adapted
210 adapter
1 adapter's
38 adapters
4 adapting
2 adaption
14 adaptive
57 adaptor
5 adaptors
1 adapts
862 add
415 added
4 addendum
1 addendums
9 adder
3 adders
12 addict
13 addicted
1 addicting
23 addiction
13 addictive
19 addicts
168 adding
483 addition
355 additional
47 additionally
51 additions
22 additive
34 additives
1 additivity
1 addle
1280 address
7 addressable
108 addressed
1 addressee
1 addressees
228 addresses
101 addressing
95 adds
2 adduced
2 adenocarcinoma
1 adenomas
9 adept
1 adepts
1 adequacy
88 adequate
46 adequately
19 adhere
1 adhered
8 adherence
2 adherent
14 adherents
4 adheres
13 adhering
4 adhesion
17 adhesive
2 adhesives
3 adiposity
29 adjacent
1 adjectival
36 adjective
2 adjectives
4 adjoining
2 adjourned
2 adjudicate
1 adjudicated
4 adjudication
2 adjuration
76 adjust
41 adjustable
57 adjusted
1 adjuster
5 adjusters
33 adjusting
42 adjustment
29 adjustments
5 adjusts
2 adjutant
7 adjuvant
1 adjuvants
1 adman's
13 administer
30 administered
10 administering
3 administers
527 administration
24 administration's
16 administrations
58 administrative
1 administratively
101 administrator
7 administrator's
31 administrators
5 admirable
2 admirably
36 admiral
17 admirals
1 admiralty
15 admiration
20 admire
12 admired
4 admirer
1 admires
1 admiring
8 admissible
62 admission
12 admissions
365 admit
33 admits
103 admitted
63 admittedly
57 admitting
4 admonish
2 admonished
1 admonishing
1 admonishment
3 admonition
7 admonitions
4 ado
104 adobe
4 adobe's
4 adolescence
12 adolescent
9 adolescents
2 adonis
